NOMBDEPTO,NOMBLOC,POBLACION,CANT_FARMACIAS
CANELONES,SEIS HERMANOS,622.0,0
CANELONES,VILLA AREJO,147.0,0
CANELONES,VILLA ARGENTINA,622.0,1
CANELONES,VILLA PORVENIR,507.0,1
CANELONES,LA TUNA,204.0,0
CANELONES,GUAZU - VIRA,86.0,0
CANELONES,COLINAS DE SOLYMAR,2813.0,0
CANELONES,BARRIO REMANSO,178.0,0
CANELONES,VILLA EL TATO,615.0,0
CANELONES,VILLA SAN CONO,137.0,0
CANELONES,VILLA JUANA,44.0,0
CANELONES,COLINAS DE CARRASCO,56.0,0
CANELONES,LOMAS DE CARRASCO,806.0,1
CANELONES,CARMEL,80.0,1
CANELONES,LA ASUNCION,184.0,0
CANELONES,QUINTAS DEL BOSQUE,57.0,0
CANELONES,ALTOS DE LA TAHONA,168.0,1
CERRO LARGO,MELO,51830.0,6
CERRO LARGO,FRAILE MUERTO,3168.0,0
CERRO LARGO,RIO BRANCO,14604.0,1
CERRO LARGO,TUPAMBAE,1122.0,1
CERRO LARGO,ISIDORO NOBLIA,2331.0,0
CERRO LARGO,ACEGUA,1511.0,1
CERRO LARGO,BAÑADO DE MEDINA,207.0,0
CERRO LARGO,CENTURION,35.0,0
CERRO LARGO,CERRO DE LAS CUENTAS,263.0,0
CERRO LARGO,HIPODROMO,505.0,0
CERRO LARGO,PLACIDO ROSAS,415.0,0
CERRO LARGO,TOLEDO,132.0,0
CERRO LARGO,TRES ISLAS,195.0,0
CERRO LARGO,POBLADO URUGUAY,104.0,0
CERRO LARGO,RURAL,5936.0,8
CERRO LARGO,ARBOLITO,189.0,0
CERRO LARGO,AREVALO,272.0,0
CERRO LARGO,CASERIO LAS CAÑAS,72.0,0
CERRO LARGO,ESPERANZA,26.0,0
CERRO LARGO,GETULIO VARGAS,28.0,0
CERRO LARGO,LA PEDRERA,131.0,0
CERRO LARGO,LAGO MERIN,439.0,0
CERRO LARGO,MANGRULLO,6.0,0
CERRO LARGO,NANDO,13.0,0
CERRO LARGO,QUEBRACHO,70.0,0
CERRO LARGO,RAMON TRIGO,150.0,0
CERRO LARGO,SOTO GORO,9.0,0
CERRO LARGO,BARRIO LOPEZ BENITEZ,522.0,0
CERRO LARGO,BARRIO LA VINCHUCA,388.0,0
CERRO LARGO,ARACHANIA,20.0,0
CERRO LARGO,ÑANGAPIRE,5.0,0
COLONIA,COLONIA DEL SACRAMENTO,26231.0,8
COLONIA,CARMELO,18041.0,2
